식품군,식품명,에너지,단백질,지방 ,탄수화물,당류
,,kcal,g,g,g,g
곡류 및 그 제품,"귀리, 겉귀리, 도정, 생것",388,9.88,8.84,68.03,0.92
곡류 및 그 제품,"귀리, 겉귀리, 도정, 밥",197,5.01,4.7,34.08,0.4
곡류 및 그 제품,"귀리, 쌀귀리, 도정, 생것",388,11.14,8.9,66.66,0.91
곡류 및 그 제품,"귀리, 쌀귀리, 대양, 도정, 생것",386,11.51,8.78,66.1,0.91
곡류 및 그 제품,"귀리, 쌀귀리, 조양, 도정, 생것",390,10.78,9.01,67.23,0.91
곡류 및 그 제품,"귀리, 쌀귀리, 도정, 밥",218,6.51,5.36,36.53,0.42
곡류 및 그 제품,"귀리, 쌀귀리, 대양, 도정, 밥",215,6.71,5.13,36.09,0.43
곡류 및 그 제품,"귀리, 쌀귀리, 조양, 도정, 밥",221,6.31,5.59,36.98,0.41
곡류 및 그 제품,"귀리, 오트밀",382,13.2,8.2,64.9,-
곡류 및 그 제품,"기장, 도정, 생것",360,11.2,1.9,74.6,-
곡류 및 그 제품,"기장, 찰기장, 도정, 생것",371,13.41,3.69,70,0.61
곡류 및 그 제품,"기장, 찰기장, 이백찰, 도정, 생것",373,13.72,4.03,69.49,0.61
곡류 및 그 제품,"기장, 찰기장, 한라찰, 도정, 생것",373,12.8,4.35,69.78,0.61
곡류 및 그 제품,"기장, 찰기장, 황실찰, 도정, 생것",368,15.55,3.62,67.42,0.61
곡류 및 그 제품,"기장, 찰기장, 도정, 밥",136,4.76,1.24,25.99,0.22
곡류 및 그 제품,"메밀, 도정, 생것",363,13.64,3.38,67.84,0.3
곡류 및 그 제품,"메밀, 도정, 가루",374,12.96,3.29,71.36,0.3
곡류 및 그 제품,"메밀 국수, 생것",291,7.59,0.96,61.14,0
곡류 및 그 제품,"메밀 국수, 생것, 삶은것",124,3.54,0.44,25.73,0
곡류 및 그 제품,"메밀 국수, 말린것",372,13.58,1.27,74.41,2.77
곡류 및 그 제품,"메밀 국수, 말린것, 삶은것",114,4.28,0.4,22.65,0
곡류 및 그 제품,"메밀 냉면, 말린것",360,10.74,1.44,73.66,0
곡류 및 그 제품,"메밀 냉면, 말린것, 삶은것",141,4.22,0.59,28.71,0
곡류 및 그 제품,메밀묵,54,1.11,0.41,11.77,0
곡류 및 그 제품,"메밀묵, 가루",371,8.33,2.04,77.4,0
곡류 및 그 제품,"멥쌀, 배아미, 생것",343,6.5,2,75.8,0.6
곡류 및 그 제품,"멥쌀, 백미, 생것",366,6.81,1.05,78.74,0.5
곡류 및 그 제품,"멥쌀, 백미, 고시히카리, 생것",364,5.86,1.17,78.8,0.21
곡류 및 그 제품,"멥쌀, 백미, 고아미2호, 생것",362,8.4,2.04,74.3,1.81
